,loss,a,b,ga,gb
3430,0.032933502540037865,0.9387757234124644,-0.007691528979338024,-0.028170890208528292,-0.007691528979338056
3431,0.03293265020774402,0.938803894302673,-0.007683837450358686,-0.02814271931831973,-0.007683837450358756
3432,0.03293179957926243,0.9388320370219913,-0.007676153612908327,-0.028114576599001437,-0.007676153612908401
3433,0.032930950651187174,0.9388601515985903,-0.0076684774592954185,-0.02808646202240243,-0.007668477459295488
3434,0.032930103420119136,0.9388882380606126,-0.007660808981836123,-0.028058375560380083,-0.007660808981836182
3435,0.03292925788266601,0.938916296436173,-0.007653148172854287,-0.028030317184819672,-0.007653148172854374
3436,0.032928414035442256,0.9389443267533578,-0.007645495024681433,-0.02800228686763488,-0.00764549502468147
3437,0.032927571875069096,0.9389723290402254,-0.007637849529656751,-0.02797428458076727,-0.007637849529656788
3438,0.03292673139817452,0.9390003033248062,-0.007630211680127094,-0.027946310296186477,-0.007630211680127122
3439,0.03292589260139327,0.9390282496351025,-0.007622581468446967,-0.027918363985890246,-0.007622581468447012
3440,0.032925055481366775,0.9390561679990883,-0.00761495888697852,-0.027890445621904392,-0.007614958886978545
3441,0.03292422003474321,0.9390840584447102,-0.007607343928091541,-0.027862555176282486,-0.007607343928091583
3442,0.03292338625817745,0.9391119209998865,-0.0075997365841634495,-0.0278346926211062,-0.007599736584163467
3443,0.032922554148331055,0.9391397556925076,-0.0075921368475792865,-0.027806857928485074,-0.007592136847579356
3444,0.03292172370187223,0.9391675625504361,-0.007584544710731707,-0.027779051070556594,-0.007584544710731726
3445,0.03292089491547587,0.9391953416015066,-0.007576960166020975,-0.027751272019486056,-0.007576960166021006
3446,0.032920067785823535,0.9392230928735261,-0.0075693832058549545,-0.027723520747466576,-0.007569383205855019
3447,0.032919242309603365,0.9392508163942735,-0.0075618138226491,-0.027695797226719145,-0.007561813822649179
3448,0.03291841848351015,0.9392785121915003,-0.00755425200882645,-0.02766810142949242,-0.007554252008826517
3449,0.03291759630424531,0.9393061802929298,-0.007546697756817623,-0.027640433328062916,-0.007546697756817697
3450,0.032916775768516815,0.9393338207262578,-0.007539151059060806,-0.027612792894734874,-0.007539151059060835
3451,0.03291595687303924,0.9393614335191526,-0.007531611908001745,-0.027585180101840117,-0.007531611908001816
3452,0.032915139614533725,0.9393890186992544,-0.007524080296093743,-0.0275575949217383,-0.007524080296093753
3453,0.03291432398972797,0.9394165762941762,-0.0075165562157976495,-0.02753003732681651,-0.007516556215797715
3454,0.03291350999535619,0.939444106331503,-0.007509039659581852,-0.027502507289489702,-0.007509039659581883
3455,0.03291269762815917,0.9394716088387924,-0.00750153061992227,-0.02747500478220026,-0.007501530619922305
3456,0.03291188688488417,0.9394990838435746,-0.007494029089302348,-0.02744752977741808,-0.0074940290893024085
3457,0.032911077762284975,0.9395265313733521,-0.007486535060213045,-0.027420082247640636,-0.007486535060213118
